called out in Ryan's setup,site_index,loc_id,identify groups,group,group number,in sites?,First date,Last date,count,less_than_15,window_flag,drop_flag,drop_note,index_well_flag,x_2265,y_2265,assigned aquifer,total_depth,top_screen,bot_screen,lse_navd88,should_be_lay,in_current_model,total_depth_elev,top_screen_ele,bot_screen_ele,mid_pt,layer_midpt,manually_corrected_lay,top_lay1,bot_lay1,bot_lay2,bot_lay3,bot_lay4,bot_lay5,bot_lay6,bot_lay7,index_right,row,col,groups_diff_row_col_flag
,434,13204810BCC,13204810BCC,1A,1,0,9/30/1964,6/26/1973,53,no,,,,FALSE,2930135.955,-245474.8832,Undefined,242,0,100,958.82,,no,716.82,958.82,858.82,908.82,3,3,958.4124,947.157,913.3912,857.1147,845.8595,840.8595,676.3191,671.3191,9639,122,1,FALSE
,454,13304718ABC,13304718ABC,2A,2,1,9/19/1974,6/3/1975,16,no,,,,FALSE,2943082.835,-217177.6815,Wahpeton Buried Valley,245,145,235,957.54,5,yes,712.54,812.54,722.54,767.54,5,5,956.1597,945.9423,915.2902,864.2035,853.9861,694.2357,517.2554,512.2554,8023,101,44,FALSE
,455,13304718ADA,13304718ADA,3A,3,1,11/18/1969,5/18/2010,281,no,,,,TRUE,2945331.694,-217803.3937,Wahpeton Buried Valley,240,219,225,960.95,5,yes,720.95,741.95,735.95,738.95,5,5,960.5298,948.8938,913.9856,855.8052,844.1692,720.266,541.5216,536.5216,8262,104,46,FALSE
,456,13304719DAA,13304719DAA,4A,4,1,11/18/1969,2/26/1970,2,yes,,TRUE,less than 15 pts,FALSE,2945727.186,-224155.4024,Wahpeton Shallow Sand,240,46,49,961.02,,no,721.02,915.02,912.02,913.52,3,3,959.5317,948.0873,913.754,856.5319,845.0875,800.748,631.4624,626.4624,8888,112,40,FALSE
,457,13304720AACCB1,13304720AACCB,5A,5,1,9/5/1985,5/1/1991,111,no,,,,FALSE,2949689.652,-222251.2985,Wahpeton Buried Valley,280,268,273,971.17,5,yes,691.17,703.17,698.17,700.67,5,5,967.3328,955.6185,920.4755,861.9039,850.1896,697.0416,535.0501,530.0501,9053,114,47,FALSE
,458,13304720AACCB2,13304720AACCB,5B,5,1,9/5/1985,5/1/1991,111,no,,TRUE,duplicate of wbv well data,FALSE,2949664.642,-222252.1957,Wahpeton Sand Plain,120,113,118,971.22,,yes,851.22,858.22,853.22,855.72,4,5,967.3328,955.6185,920.4755,861.9039,850.1896,697.0416,535.0501,530.0501,9053,114,47,FALSE
,459,13304720AACCB3,13304720AACCB,5C,5,1,9/5/1985,5/30/1991,106,no,,,,FALSE,2949664.642,-222252.1957,Wahpeton Shallow Sand,60,42,57,970.96,,yes,910.96,928.96,913.96,921.46,2,2,967.3328,955.6185,920.4755,861.9039,850.1896,697.0416,535.0501,530.0501,9053,114,47,FALSE
,460,13304720AAD1,13304720AAD,8A,8,1,9/6/1985,11/5/2024,255,no,,,,TRUE,2950851.157,-222192.9963,Wahpeton Buried Valley,210,195,200,969.84,5,yes,759.84,774.84,769.84,772.34,5,5,967.3456,954.9313,917.6884,855.6169,843.2026,707.9227,545.8374,540.8374,9133,115,48,FALSE
yes - to wss,461,13304720AAD2,13304720AAD,8B,8,1,9/6/1985,11/5/2024,250,no,,TRUE,duplicate of wbv well data,FALSE,2950826.165,-222194.2593,Wahpeton Sand Plain,135,129,134,970.1,,yes,835.1,841.1,836.1,838.6,5,5,967.3456,954.9313,917.6884,855.6169,843.2026,707.9227,545.8374,540.8374,9133,115,48,FALSE
,462,13304720AAD3,13304720AAD,8C,8,1,9/6/1985,11/5/2024,250,no,,,,FALSE,2950826.165,-222194.2593,Wahpeton Shallow Sand,60,54,59,970.26,,yes,910.26,916.26,911.26,913.76,3,3,967.3456,954.9313,917.6884,855.6169,843.2026,707.9227,545.8374,540.8374,9133,115,48,FALSE
,463,13304720ABAC1,13304720ABAC,11A,11,1,4/10/1986,5/30/1991,77,no,,TRUE,duplicate data in cell,FALSE,2949079.873,-221697.5881,Wahpeton Buried Valley,271,265,270,974.83,5,yes,703.83,709.83,704.83,707.33,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,464,13304720ABAC2,13304720ABAC,11B,11,1,4/10/1986,5/30/1991,77,no,,TRUE,duplicate of wbv well data,FALSE,2949081.945,-221733.6484,Wahpeton Sand Plain,125,118,123,974.88,,yes,849.88,856.88,851.88,854.38,4,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,465,13304720ABAC4,13304720ABAC,11C,11,1,4/10/1986,11/8/1990,43,no,,,,FALSE,2949081.945,-221733.6484,Wahpeton Shallow Sand,50,38,48,974.81,,yes,924.81,936.81,926.81,931.81,2,2,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,466,13304720ABB,13304720ABB,66H,66,1,11/18/1969,5/30/1991,157,no,,,,TRUE,2948324.11,-221339.7157,Wahpeton Buried Valley,280,178,184,965.44,5,yes,685.44,787.44,781.44,784.44,5,5,966.1504,954.994,921.525,865.7431,854.5867,686.8138,521.784,516.784,8815,111,46,TRUE
,467,13304720ABBA1,13304720ABBA,15A,15,1,4/10/1986,5/30/1991,79,no,,,,FALSE,2948715.437,-221496.7899,Wahpeton Buried Valley,277,266,271,976.18,5,yes,699.18,710.18,705.18,707.68,5,5,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,FALSE
,468,13304720ABBA2,13304720ABBA,15B,15,1,4/10/1986,5/30/1991,80,no,,TRUE,duplicate of wbv well data,FALSE,2948713.384,-221461.0939,Wahpeton Sand Plain,125,118,123,976.38,,yes,851.38,858.38,853.38,855.88,4,5,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,FALSE
,469,13304720ABBA3,13304720ABBA,15C,15,1,4/10/1986,11/15/2007,135,no,,,,FALSE,2948713.384,-221461.0939,Wahpeton Shallow Sand,55,43,53,976.89,,yes,921.89,933.89,923.89,928.89,2,2,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,FALSE
,471,13304720ABCA1,13304720ABCA,18A,18,1,4/10/1986,5/30/1991,56,no,,,,FALSE,2948733.814,-221861.1642,Wahpeton Shallow Sand,80,50,60,975.48,,yes,895.48,925.48,915.48,920.48,2,3,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,TRUE
,472,13304720ABCA2,13304720ABCA,18B,18,1,4/10/1986,5/30/1991,76,no,,TRUE,duplicate of wbv well data,FALSE,2948735.922,-221897.9532,Wahpeton Sand Plain,124,118,122,975.27,,yes,851.27,857.27,853.27,855.27,4,5,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,TRUE
,473,13304720ABCA3,13304720ABCA,18C,18,1,4/10/1986,5/30/1991,76,no,,TRUE,duplicate data in cell,FALSE,2948740.93,-222007.291,Wahpeton Buried Valley,280,273,278,975.58,5,yes,695.58,702.58,697.58,700.08,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,474,13304720ABCA4,13304720ABCA,18D,18,1,3/30/1989,11/15/2007,80,no,,,,FALSE,2948735.922,-221897.9532,Wahpeton Shallow Sand,,64,74,983.44,,yes,na,919.44,909.44,914.44,3,3,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,TRUE
,475,13304720ABCBA1,13304720ABCBA,22A,22,1,3/30/1989,5/30/1991,26,no,,TRUE,duplicate data in cell,FALSE,2948538.978,-222017.4747,Wahpeton Shallow Sand,,58,63,983.61,,yes,na,925.61,920.61,923.11,2,3,964.2357,953.088,919.6451,863.9069,852.7592,681.4502,518.3029,513.3029,8894,112,46,FALSE
,476,13304720ABCBB1,13304720ABCBB,23A,23,1,3/30/1989,5/30/1991,27,no,,TRUE,duplicate data in cell,FALSE,2948286.754,-222029.46,Wahpeton Shallow Sand,,60,65,983.27,,yes,na,923.27,918.27,920.77,2,2,964.2357,953.1404,919.8549,864.3789,853.2837,682.3303,518.0193,513.0193,8893,112,45,FALSE
,478,13304720ABDAC1,13304720ABDAC,24A,24,1,10/8/1986,9/13/1990,67,no,,TRUE,pumping well,FALSE,2949248.115,-222017.5057,Wahpeton Buried Valley,302,175,275,972.98,5,yes,670.98,797.98,697.98,747.98,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,479,13304720ABDA1,13304720ABDA,25A,25,1,9/17/1986,11/15/2007,125,no,,,,FALSE,2949423.255,-221972.5029,Wahpeton Buried Valley,272,267,272,972.52,5,yes,700.52,705.52,700.52,703.02,5,5,966.9781,955.589,921.4216,864.4761,853.0869,685.906,523.4827,518.4827,8974,113,47,FALSE
,480,13304720ABDBA1,13304720ABDBA,26A,26,1,8/28/1986,11/4/2008,108,no,,TRUE,three wss wells in same group,FALSE,2949112.956,-221841.6743,Wahpeton Shallow Sand,62,55,60,973.06,,yes,911.06,918.06,913.06,915.56,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,481,13304720ABDBA2,13304720ABDBA,26B,26,1,8/28/1986,11/4/2008,115,no,,TRUE,duplicate data in cell,FALSE,2949112.956,-221841.6743,Wahpeton Shallow Sand,120,114,119,973.02,,yes,853.02,859.02,854.02,856.52,4,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,482,13304720ABDBA3,13304720ABDBA,26C,26,1,9/30/1986,11/15/2007,115,no,,TRUE,three wss wells in same group,FALSE,2949141.138,-221913.6781,Wahpeton Shallow Sand,121,115,120,972.52,,yes,851.52,857.52,852.52,855.02,4,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,484,13304720ABDBD1,13304720ABDBD,29A,29,1,8/28/1986,11/15/2007,135,no,,TRUE,duplicate data in cell,FALSE,2949176.35,-222094.9176,Wahpeton Shallow Sand,122,114,119,973.08,,yes,851.08,859.08,854.08,856.58,4,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,485,13304720ABDBD2,13304720ABDBD,29B,29,1,9/17/1986,11/15/2007,108,no,,TRUE,two wss wells in same group,FALSE,2949174.277,-222058.8573,Wahpeton Shallow Sand,60,53,58,972.96,,yes,912.96,919.96,914.96,917.46,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,486,13304720ABDB1,13304720ABDB,31A,31,1,10/24/1985,11/4/2008,151,no,,,,FALSE,2949169.23,-221948.7909,Wahpeton Shallow Sand,124,115,120,972.83,,yes,848.83,857.83,852.83,855.33,4,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,487,13304720ABDB2,13304720ABDB,31B,31,1,10/24/1985,11/15/2007,161,no,,TRUE,duplicate data in cell,FALSE,2949170.077,-221985.6436,Wahpeton Buried Valley,280,248,253,973.06,5,yes,693.06,725.06,720.06,722.56,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,488,13304720ABDB3,13304720ABDB,31C,31,1,10/23/1985,4/10/1991,43,no,,TRUE,duplicate wss data,FALSE,2949170.077,-221985.6436,Wahpeton Shallow Sand,55,45,50,973.23,,yes,918.23,928.23,923.23,925.73,2,2,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,489,13304720ABDB4,13304720ABDB,31D,31,1,4/10/1986,5/30/1991,77,no,,TRUE,duplicate and less time span,FALSE,2948961.007,-221849.705,Wahpeton Buried Valley,280,273,278,976.03,5,yes,696.03,703.03,698.03,700.53,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,490,13304720ABDB5,13304720ABDB,31E,31,1,4/10/1986,7/29/1994,105,no,,TRUE,duplicate and less time span,FALSE,2949096.183,-222025.9019,Wahpeton Sand Plain,120,108,113,975.84,,yes,855.84,867.84,862.84,865.34,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,491,13304720ABDB6,13304720ABDB,31F,31,1,4/10/1986,5/30/1991,51,no,,TRUE,duplicate wss data,FALSE,2948962.827,-221885.7781,Wahpeton Shallow Sand,60,50,55,975.88,,yes,915.88,925.88,920.88,923.38,2,2,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,492,13304720ABDB7,13304720ABDB,31G,31,1,9/30/1986,9/13/1990,55,no,,TRUE,duplicate wss data,FALSE,2949196.041,-221983.603,Wahpeton Shallow Sand,120,95,115,972.66,,yes,852.66,877.66,857.66,867.66,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,493,13304720ABDB8,13304720ABDB,31H,31,1,3/28/1989,11/15/2007,81,no,,TRUE,duplicate wss data,FALSE,2948968.125,-221995.8318,Wahpeton Shallow Sand,,92,102,983.56,,yes,na,891.56,881.56,886.56,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,495,13304720ABDC1,13304720ABDC,39A,39,1,10/17/1985,11/15/2007,173,no,,,,TRUE,2949114.548,-222389.9116,Wahpeton Buried Valley,286,278,283,984.1,5,yes,698.1,706.1,701.1,703.6,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,496,13304720ABDC2,13304720ABDC,39B,39,1,10/17/1985,11/15/2007,173,no,,TRUE,duplicate of wbv well data,FALSE,2949114.548,-222389.9116,Wahpeton Sand Plain,135,128,133,984.22,,yes,849.22,856.22,851.22,853.72,4,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,497,13304720ABDC3,13304720ABDC,39C,39,1,10/17/1985,11/15/2007,157,no,,TRUE,duplicate data in cell,FALSE,2949114.548,-222389.9116,Wahpeton Shallow Sand,75,67,72,984.23,,yes,909.23,917.23,912.23,914.73,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,498,13304720ABDDAB,13304720ABDDAB,42A,42,1,9/30/1986,11/15/2007,124,no,,TRUE,duplicate data in cell,FALSE,2949358.538,-222194.5846,Wahpeton Buried Valley,272,265,270,972.36,5,yes,700.36,707.36,702.36,704.86,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,499,13304720ABDDA2,13304720ABDDA,43A,43,1,9/4/1985,12/11/1985,27,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2949439.553,-222300.452,Undefined,11,9,12,971.06,,yes,960.06,962.06,959.06,960.56,1,1,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,500,13304720ABDDA3,13304720ABDDA,43B,43,1,9/4/1985,5/1/1991,123,no,,,,FALSE,2949489.518,-222297.5651,Wahpeton Buried Valley,280,268,273,970.83,5,yes,690.83,702.83,697.83,700.33,5,5,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,501,13304720ABDDA4,13304720ABDDA,43C,43,1,9/4/1985,5/1/1991,89,no,,TRUE,duplicate of wbv well data,FALSE,2949488.455,-222261.4538,Wahpeton Buried Valley,190,178,183,971.07,5,yes,781.07,793.07,788.07,790.57,5,5,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,502,13304720ABDDA5,13304720ABDDA,43D,43,1,9/4/1985,5/1/1991,122,no,,TRUE,duplicate of wbv well data,FALSE,2949515.538,-222296.6171,Wahpeton Sand Plain,120,113,118,970.72,,yes,850.72,857.72,852.72,855.22,4,5,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,503,13304720ABDDA6,13304720ABDDA,43E,43,1,9/4/1985,11/4/1986,54,no,,TRUE,duplicate and less time span,FALSE,2949513.465,-222260.5569,Wahpeton Shallow Sand,47,36,41,970.75,,yes,923.75,934.75,929.75,932.25,2,2,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,TRUE
,504,13304720ABDDA7,13304720ABDDA,43F,43,1,9/9/1985,5/30/1991,117,no,,TRUE,duplicate of wbv well data,FALSE,2949361.458,-222267.4976,Wahpeton Buried Valley,280,269,274,970.97,5,yes,690.97,701.97,696.97,699.47,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,505,13304720ABDDA8,13304720ABDDA,43G,43,1,9/10/1985,5/30/1991,114,no,,TRUE,duplicate of wbv well data,FALSE,2949361.458,-222267.4976,Wahpeton Sand Plain,120,112,117,970.91,,yes,850.91,858.91,853.91,856.41,4,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,506,13304720ABDDA9,13304720ABDDA,43H,43,1,9/10/1985,5/30/1991,91,no,,TRUE,duplicate data in cell,FALSE,2949336.521,-222269.8519,Wahpeton Shallow Sand,60,50,55,970.96,,yes,910.96,920.96,915.96,918.46,3,3,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,TRUE
,507,13304720ABDDB1,13304720ABDDB,51A,51,1,9/4/1985,5/30/1991,125,no,,TRUE,duplicate data in cell,FALSE,2949235.544,-222274.9471,Wahpeton Buried Valley,280,260,265,972.08,5,yes,692.08,712.08,707.08,709.58,5,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,508,13304720ABDDB2,13304720ABDDB,51B,51,1,9/4/1985,5/30/1991,124,no,,TRUE,duplicate of wbv well data,FALSE,2949235.544,-222274.9471,Wahpeton Sand Plain,125,114,119,972.13,,yes,847.13,858.13,853.13,855.63,4,5,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,509,13304720ABDDB3,13304720ABDDB,51C,51,1,9/4/1985,11/4/1986,65,no,,,,FALSE,2949235.544,-222274.9471,Wahpeton Shallow Sand,50,36,41,972.15,,yes,922.15,936.15,931.15,933.65,2,2,965.2623,953.8732,919.7058,862.7603,851.3711,684.1902,521.7669,516.7669,8973,113,46,FALSE
,510,13304720ABDDD,13304720ABDDD,54A,54,1,9/4/1985,11/13/1985,18,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2949441.626,-222336.5123,Undefined,10,7,9,971.29,,yes,961.29,964.29,962.29,963.29,1,1,967.2153,955.6964,921.1399,863.5457,852.0269,680.5018,518.4559,513.4559,9052,114,46,FALSE
,511,13304720ACC1,13304720ACC,55A,55,1,11/18/1969,7/20/1971,3,yes,,TRUE,less than 15 pts,FALSE,2948531.564,-223838.1447,Wahpeton Buried Valley,265,238,244,969.22,5,no,704.22,731.22,725.22,728.22,5,5,967.3498,955.6685,920.6246,862.2181,850.5368,699.2214,537.4044,532.4044,9129,115,44,TRUE
,512,13304720ACC2,13304720ACC,55B,55,1,6/17/1976,10/30/1985,23,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2948667.375,-223544.9007,Undefined,,0,25,969.83,,yes,na,969.83,944.83,957.33,1,1,967.3641,955.8976,921.4982,864.1658,852.6993,689.1985,526.9352,521.9352,9050,114,44,TRUE
,513,13304720ACC3,13304720ACC,55C,55,1,12/2/1975,5/30/1991,81,no,,TRUE,"data questionable, shallow well, disagreeing WLs",FALSE,2948667.375,-223544.9007,Undefined,40,23,26,969.79,,yes,929.79,946.79,943.79,945.29,2,2,967.3641,955.8976,921.4982,864.1658,852.6993,689.1985,526.9352,521.9352,9050,114,44,TRUE
,514,13304720ACD1,13304720ACD,58A,58,1,6/17/1976,9/17/1980,15,no,,,,FALSE,2949323.787,-223512.1559,Undefined,,0,30,969.82,,no,na,969.82,939.82,954.82,2,2,967.4937,955.623,920.0112,860.6581,848.7875,689.7279,528.28,523.28,9130,115,45,FALSE
,515,13304720ACD2,13304720ACD,58B,58,1,9/7/1975,6/30/1976,5,yes,,TRUE,less than 15 pts,FALSE,2949323.787,-223512.1559,Undefined,40,24,30,969.82,,no,929.82,945.82,939.82,942.82,2,2,967.4937,955.623,920.0112,860.6581,848.7875,689.7279,528.28,523.28,9130,115,45,FALSE
,516,13304720ADB,13304720ADB,60A,60,1,11/18/1969,7/20/1971,3,yes,,TRUE,less than 15 pts,FALSE,2949683.346,-223003.7741,Wahpeton Buried Valley,260,254,260,972.72,5,no,712.72,718.72,712.72,715.72,5,5,967.3785,955.4358,919.6077,859.8942,847.9515,678.4561,516.7046,511.7046,9131,115,46,FALSE
,517,13304720ADB2,13304720ADB,60B,60,1,10/24/1985,8/28/1996,120,no,,TRUE,wsp well has more data,FALSE,2949649.388,-222947.7704,Wahpeton Buried Valley,277,265,270,972.93,5,yes,695.93,707.93,702.93,705.43,5,5,967.3785,955.4358,919.6077,859.8942,847.9515,678.4561,516.7046,511.7046,9131,115,46,FALSE
,518,13304720ADB3,13304720ADB,60C,60,1,10/24/1985,11/15/2007,141,no,,,,FALSE,2949647.26,-222910.617,Wahpeton Sand Plain,125,115,120,973.15,,yes,848.15,858.15,853.15,855.65,4,5,967.3785,955.4358,919.6077,859.8942,847.9515,678.4561,516.7046,511.7046,9131,115,46,FALSE
,520,13304720ADD2,13304720ADD,63A,63,1,10/30/1985,4/20/1994,94,no,,TRUE,wsp well has more data,FALSE,2950771.502,-223621.7049,Wahpeton Buried Valley,275,268,273,969.39,5,yes,694.39,701.39,696.39,698.89,5,5,967.3938,955.1941,918.5951,857.5967,845.397,681.8743,519.8026,514.8026,9211,116,47,FALSE
