stress_period,perlen,nstp,tsmult,cum_days,year,start_datetime,end_datetime,steady_state
1,1.0,1,1.2,0,1969,1969-12-31,1970-01-01,True
2,365.0,1,1.2,365,1970,1970-01-01,1971-01-01,False
3,365.0,1,1.2,730,1971,1971-01-01,1972-01-01,False
4,366.0,1,1.2,1096,1972,1972-01-01,1973-01-01,False
5,365.0,1,1.2,1461,1973,1973-01-01,1974-01-01,False
6,365.0,1,1.2,1826,1974,1974-01-01,1975-01-01,False
7,365.0,1,1.2,2191,1975,1975-01-01,1976-01-01,False
8,366.0,1,1.2,2557,1976,1976-01-01,1977-01-01,False
9,365.0,1,1.2,2922,1977,1977-01-01,1978-01-01,False
10,365.0,1,1.2,3287,1978,1978-01-01,1979-01-01,False
11,365.0,1,1.2,3652,1979,1979-01-01,1980-01-01,False
12,366.0,1,1.2,4018,1980,1980-01-01,1981-01-01,False
13,365.0,1,1.2,4383,1981,1981-01-01,1982-01-01,False
14,365.0,1,1.2,4748,1982,1982-01-01,1983-01-01,False
15,365.0,1,1.2,5113,1983,1983-01-01,1984-01-01,False
16,366.0,1,1.2,5479,1984,1984-01-01,1985-01-01,False
17,365.0,1,1.2,5844,1985,1985-01-01,1986-01-01,False
18,365.0,1,1.2,6209,1986,1986-01-01,1987-01-01,False
19,365.0,1,1.2,6574,1987,1987-01-01,1988-01-01,False
20,366.0,1,1.2,6940,1988,1988-01-01,1989-01-01,False
21,365.0,1,1.2,7305,1989,1989-01-01,1990-01-01,False
22,365.0,1,1.2,7670,1990,1990-01-01,1991-01-01,False
23,365.0,1,1.2,8035,1991,1991-01-01,1992-01-01,False
24,366.0,1,1.2,8401,1992,1992-01-01,1993-01-01,False
25,365.0,1,1.2,8766,1993,1993-01-01,1994-01-01,False
26,365.0,1,1.2,9131,1994,1994-01-01,1995-01-01,False
27,365.0,1,1.2,9496,1995,1995-01-01,1996-01-01,False
28,366.0,1,1.2,9862,1996,1996-01-01,1997-01-01,False
29,365.0,1,1.2,10227,1997,1997-01-01,1998-01-01,False
30,365.0,1,1.2,10592,1998,1998-01-01,1999-01-01,False
31,365.0,1,1.2,10957,1999,1999-01-01,2000-01-01,False
32,31.0,1,1.2,10988,2000,2000-01-01,2000-02-01,False
33,29.0,1,1.2,11017,2000,2000-02-01,2000-03-01,False
34,31.0,1,1.2,11048,2000,2000-03-01,2000-04-01,False
35,30.0,1,1.2,11078,2000,2000-04-01,2000-05-01,False
36,31.0,1,1.2,11109,2000,2000-05-01,2000-06-01,False
37,30.0,1,1.2,11139,2000,2000-06-01,2000-07-01,False
38,31.0,1,1.2,11170,2000,2000-07-01,2000-08-01,False
39,31.0,1,1.2,11201,2000,2000-08-01,2000-09-01,False
40,30.0,1,1.2,11231,2000,2000-09-01,2000-10-01,False
41,31.0,1,1.2,11262,2000,2000-10-01,2000-11-01,False
42,30.0,1,1.2,11292,2000,2000-11-01,2000-12-01,False
43,31.0,1,1.2,11323,2000,2000-12-01,2001-01-01,False
44,31.0,1,1.2,11354,2001,2001-01-01,2001-02-01,False
45,28.0,1,1.2,11382,2001,2001-02-01,2001-03-01,False
46,31.0,1,1.2,11413,2001,2001-03-01,2001-04-01,False
47,30.0,1,1.2,11443,2001,2001-04-01,2001-05-01,False
48,31.0,1,1.2,11474,2001,2001-05-01,2001-06-01,False
49,30.0,1,1.2,11504,2001,2001-06-01,2001-07-01,False
50,31.0,1,1.2,11535,2001,2001-07-01,2001-08-01,False
51,31.0,1,1.2,11566,2001,2001-08-01,2001-09-01,False
52,30.0,1,1.2,11596,2001,2001-09-01,2001-10-01,False
53,31.0,1,1.2,11627,2001,2001-10-01,2001-11-01,False
54,30.0,1,1.2,11657,2001,2001-11-01,2001-12-01,False
55,31.0,1,1.2,11688,2001,2001-12-01,2002-01-01,False
56,31.0,1,1.2,11719,2002,2002-01-01,2002-02-01,False
57,28.0,1,1.2,11747,2002,2002-02-01,2002-03-01,False
58,31.0,1,1.2,11778,2002,2002-03-01,2002-04-01,False
59,30.0,1,1.2,11808,2002,2002-04-01,2002-05-01,False
60,31.0,1,1.2,11839,2002,2002-05-01,2002-06-01,False
61,30.0,1,1.2,11869,2002,2002-06-01,2002-07-01,False
62,31.0,1,1.2,11900,2002,2002-07-01,2002-08-01,False
63,31.0,1,1.2,11931,2002,2002-08-01,2002-09-01,False
64,30.0,1,1.2,11961,2002,2002-09-01,2002-10-01,False
65,31.0,1,1.2,11992,2002,2002-10-01,2002-11-01,False
66,30.0,1,1.2,12022,2002,2002-11-01,2002-12-01,False
67,31.0,1,1.2,12053,2002,2002-12-01,2003-01-01,False
68,31.0,1,1.2,12084,2003,2003-01-01,2003-02-01,False
69,28.0,1,1.2,12112,2003,2003-02-01,2003-03-01,False
70,31.0,1,1.2,12143,2003,2003-03-01,2003-04-01,False
71,30.0,1,1.2,12173,2003,2003-04-01,2003-05-01,False
72,31.0,1,1.2,12204,2003,2003-05-01,2003-06-01,False
73,30.0,1,1.2,12234,2003,2003-06-01,2003-07-01,False
74,31.0,1,1.2,12265,2003,2003-07-01,2003-08-01,False
75,31.0,1,1.2,12296,2003,2003-08-01,2003-09-01,False
76,30.0,1,1.2,12326,2003,2003-09-01,2003-10-01,False
77,31.0,1,1.2,12357,2003,2003-10-01,2003-11-01,False
78,30.0,1,1.2,12387,2003,2003-11-01,2003-12-01,False
79,31.0,1,1.2,12418,2003,2003-12-01,2004-01-01,False
80,31.0,1,1.2,12449,2004,2004-01-01,2004-02-01,False
81,29.0,1,1.2,12478,2004,2004-02-01,2004-03-01,False
82,31.0,1,1.2,12509,2004,2004-03-01,2004-04-01,False
83,30.0,1,1.2,12539,2004,2004-04-01,2004-05-01,False
84,31.0,1,1.2,12570,2004,2004-05-01,2004-06-01,False
85,30.0,1,1.2,12600,2004,2004-06-01,2004-07-01,False
86,31.0,1,1.2,12631,2004,2004-07-01,2004-08-01,False
87,31.0,1,1.2,12662,2004,2004-08-01,2004-09-01,False
88,30.0,1,1.2,12692,2004,2004-09-01,2004-10-01,False
89,31.0,1,1.2,12723,2004,2004-10-01,2004-11-01,False
90,30.0,1,1.2,12753,2004,2004-11-01,2004-12-01,False
91,31.0,1,1.2,12784,2004,2004-12-01,2005-01-01,False
92,31.0,1,1.2,12815,2005,2005-01-01,2005-02-01,False
93,28.0,1,1.2,12843,2005,2005-02-01,2005-03-01,False
94,31.0,1,1.2,12874,2005,2005-03-01,2005-04-01,False
95,30.0,1,1.2,12904,2005,2005-04-01,2005-05-01,False
96,31.0,1,1.2,12935,2005,2005-05-01,2005-06-01,False
97,30.0,1,1.2,12965,2005,2005-06-01,2005-07-01,False
98,31.0,1,1.2,12996,2005,2005-07-01,2005-08-01,False
99,31.0,1,1.2,13027,2005,2005-08-01,2005-09-01,False
100,30.0,1,1.2,13057,2005,2005-09-01,2005-10-01,False
101,31.0,1,1.2,13088,2005,2005-10-01,2005-11-01,False
102,30.0,1,1.2,13118,2005,2005-11-01,2005-12-01,False
103,31.0,1,1.2,13149,2005,2005-12-01,2006-01-01,False
104,31.0,1,1.2,13180,2006,2006-01-01,2006-02-01,False
105,28.0,1,1.2,13208,2006,2006-02-01,2006-03-01,False
106,31.0,1,1.2,13239,2006,2006-03-01,2006-04-01,False
107,30.0,1,1.2,13269,2006,2006-04-01,2006-05-01,False
108,31.0,1,1.2,13300,2006,2006-05-01,2006-06-01,False
109,30.0,1,1.2,13330,2006,2006-06-01,2006-07-01,False
110,31.0,1,1.2,13361,2006,2006-07-01,2006-08-01,False
111,31.0,1,1.2,13392,2006,2006-08-01,2006-09-01,False
112,30.0,1,1.2,13422,2006,2006-09-01,2006-10-01,False
113,31.0,1,1.2,13453,2006,2006-10-01,2006-11-01,False
114,30.0,1,1.2,13483,2006,2006-11-01,2006-12-01,False
115,31.0,1,1.2,13514,2006,2006-12-01,2007-01-01,False
116,31.0,1,1.2,13545,2007,2007-01-01,2007-02-01,False
117,28.0,1,1.2,13573,2007,2007-02-01,2007-03-01,False
118,31.0,1,1.2,13604,2007,2007-03-01,2007-04-01,False
119,30.0,1,1.2,13634,2007,2007-04-01,2007-05-01,False
120,31.0,1,1.2,13665,2007,2007-05-01,2007-06-01,False
121,30.0,1,1.2,13695,2007,2007-06-01,2007-07-01,False
122,31.0,1,1.2,13726,2007,2007-07-01,2007-08-01,False
123,31.0,1,1.2,13757,2007,2007-08-01,2007-09-01,False
124,30.0,1,1.2,13787,2007,2007-09-01,2007-10-01,False
125,31.0,1,1.2,13818,2007,2007-10-01,2007-11-01,False
126,30.0,1,1.2,13848,2007,2007-11-01,2007-12-01,False
127,31.0,1,1.2,13879,2007,2007-12-01,2008-01-01,False
128,31.0,1,1.2,13910,2008,2008-01-01,2008-02-01,False
129,29.0,1,1.2,13939,2008,2008-02-01,2008-03-01,False
130,31.0,1,1.2,13970,2008,2008-03-01,2008-04-01,False
131,30.0,1,1.2,14000,2008,2008-04-01,2008-05-01,False
132,31.0,1,1.2,14031,2008,2008-05-01,2008-06-01,False
133,30.0,1,1.2,14061,2008,2008-06-01,2008-07-01,False
134,31.0,1,1.2,14092,2008,2008-07-01,2008-08-01,False
135,31.0,1,1.2,14123,2008,2008-08-01,2008-09-01,False
136,30.0,1,1.2,14153,2008,2008-09-01,2008-10-01,False
137,31.0,1,1.2,14184,2008,2008-10-01,2008-11-01,False
138,30.0,1,1.2,14214,2008,2008-11-01,2008-12-01,False
139,31.0,1,1.2,14245,2008,2008-12-01,2009-01-01,False
140,31.0,1,1.2,14276,2009,2009-01-01,2009-02-01,False
141,28.0,1,1.2,14304,2009,2009-02-01,2009-03-01,False
142,31.0,1,1.2,14335,2009,2009-03-01,2009-04-01,False
143,30.0,1,1.2,14365,2009,2009-04-01,2009-05-01,False
144,31.0,1,1.2,14396,2009,2009-05-01,2009-06-01,False
145,30.0,1,1.2,14426,2009,2009-06-01,2009-07-01,False
146,31.0,1,1.2,14457,2009,2009-07-01,2009-08-01,False
147,31.0,1,1.2,14488,2009,2009-08-01,2009-09-01,False
148,30.0,1,1.2,14518,2009,2009-09-01,2009-10-01,False
149,31.0,1,1.2,14549,2009,2009-10-01,2009-11-01,False
150,30.0,1,1.2,14579,2009,2009-11-01,2009-12-01,False
151,31.0,1,1.2,14610,2009,2009-12-01,2010-01-01,False
152,31.0,1,1.2,14641,2010,2010-01-01,2010-02-01,False
153,28.0,1,1.2,14669,2010,2010-02-01,2010-03-01,False
154,31.0,1,1.2,14700,2010,2010-03-01,2010-04-01,False
155,30.0,1,1.2,14730,2010,2010-04-01,2010-05-01,False
156,31.0,1,1.2,14761,2010,2010-05-01,2010-06-01,False
157,30.0,1,1.2,14791,2010,2010-06-01,2010-07-01,False
158,31.0,1,1.2,14822,2010,2010-07-01,2010-08-01,False
159,31.0,1,1.2,14853,2010,2010-08-01,2010-09-01,False
160,30.0,1,1.2,14883,2010,2010-09-01,2010-10-01,False
161,31.0,1,1.2,14914,2010,2010-10-01,2010-11-01,False
162,30.0,1,1.2,14944,2010,2010-11-01,2010-12-01,False
163,31.0,1,1.2,14975,2010,2010-12-01,2011-01-01,False
164,31.0,1,1.2,15006,2011,2011-01-01,2011-02-01,False
165,28.0,1,1.2,15034,2011,2011-02-01,2011-03-01,False
166,31.0,1,1.2,15065,2011,2011-03-01,2011-04-01,False
167,30.0,1,1.2,15095,2011,2011-04-01,2011-05-01,False
168,31.0,1,1.2,15126,2011,2011-05-01,2011-06-01,False
169,30.0,1,1.2,15156,2011,2011-06-01,2011-07-01,False
170,31.0,1,1.2,15187,2011,2011-07-01,2011-08-01,False
171,31.0,1,1.2,15218,2011,2011-08-01,2011-09-01,False
172,30.0,1,1.2,15248,2011,2011-09-01,2011-10-01,False
173,31.0,1,1.2,15279,2011,2011-10-01,2011-11-01,False
174,30.0,1,1.2,15309,2011,2011-11-01,2011-12-01,False
175,31.0,1,1.2,15340,2011,2011-12-01,2012-01-01,False
176,31.0,1,1.2,15371,2012,2012-01-01,2012-02-01,False
177,29.0,1,1.2,15400,2012,2012-02-01,2012-03-01,False
178,31.0,1,1.2,15431,2012,2012-03-01,2012-04-01,False
179,30.0,1,1.2,15461,2012,2012-04-01,2012-05-01,False
180,31.0,1,1.2,15492,2012,2012-05-01,2012-06-01,False
181,30.0,1,1.2,15522,2012,2012-06-01,2012-07-01,False
182,31.0,1,1.2,15553,2012,2012-07-01,2012-08-01,False
183,31.0,1,1.2,15584,2012,2012-08-01,2012-09-01,False
184,30.0,1,1.2,15614,2012,2012-09-01,2012-10-01,False
185,31.0,1,1.2,15645,2012,2012-10-01,2012-11-01,False
186,30.0,1,1.2,15675,2012,2012-11-01,2012-12-01,False
187,31.0,1,1.2,15706,2012,2012-12-01,2013-01-01,False
188,31.0,1,1.2,15737,2013,2013-01-01,2013-02-01,False
189,28.0,1,1.2,15765,2013,2013-02-01,2013-03-01,False
190,31.0,1,1.2,15796,2013,2013-03-01,2013-04-01,False
191,30.0,1,1.2,15826,2013,2013-04-01,2013-05-01,False
192,31.0,1,1.2,15857,2013,2013-05-01,2013-06-01,False
193,30.0,1,1.2,15887,2013,2013-06-01,2013-07-01,False
194,31.0,1,1.2,15918,2013,2013-07-01,2013-08-01,False
195,31.0,1,1.2,15949,2013,2013-08-01,2013-09-01,False
196,30.0,1,1.2,15979,2013,2013-09-01,2013-10-01,False
197,31.0,1,1.2,16010,2013,2013-10-01,2013-11-01,False
198,30.0,1,1.2,16040,2013,2013-11-01,2013-12-01,False
199,31.0,1,1.2,16071,2013,2013-12-01,2014-01-01,False
200,31.0,1,1.2,16102,2014,2014-01-01,2014-02-01,False
201,28.0,1,1.2,16130,2014,2014-02-01,2014-03-01,False
202,31.0,1,1.2,16161,2014,2014-03-01,2014-04-01,False
203,30.0,1,1.2,16191,2014,2014-04-01,2014-05-01,False
204,31.0,1,1.2,16222,2014,2014-05-01,2014-06-01,False
205,30.0,1,1.2,16252,2014,2014-06-01,2014-07-01,False
206,31.0,1,1.2,16283,2014,2014-07-01,2014-08-01,False
207,31.0,1,1.2,16314,2014,2014-08-01,2014-09-01,False
208,30.0,1,1.2,16344,2014,2014-09-01,2014-10-01,False
209,31.0,1,1.2,16375,2014,2014-10-01,2014-11-01,False
210,30.0,1,1.2,16405,2014,2014-11-01,2014-12-01,False
211,31.0,1,1.2,16436,2014,2014-12-01,2015-01-01,False
212,31.0,1,1.2,16467,2015,2015-01-01,2015-02-01,False
213,28.0,1,1.2,16495,2015,2015-02-01,2015-03-01,False
214,31.0,1,1.2,16526,2015,2015-03-01,2015-04-01,False
215,30.0,1,1.2,16556,2015,2015-04-01,2015-05-01,False
216,31.0,1,1.2,16587,2015,2015-05-01,2015-06-01,False
217,30.0,1,1.2,16617,2015,2015-06-01,2015-07-01,False
218,31.0,1,1.2,16648,2015,2015-07-01,2015-08-01,False
219,31.0,1,1.2,16679,2015,2015-08-01,2015-09-01,False
220,30.0,1,1.2,16709,2015,2015-09-01,2015-10-01,False
221,31.0,1,1.2,16740,2015,2015-10-01,2015-11-01,False
222,30.0,1,1.2,16770,2015,2015-11-01,2015-12-01,False
223,31.0,1,1.2,16801,2015,2015-12-01,2016-01-01,False
224,31.0,1,1.2,16832,2016,2016-01-01,2016-02-01,False
225,29.0,1,1.2,16861,2016,2016-02-01,2016-03-01,False
226,31.0,1,1.2,16892,2016,2016-03-01,2016-04-01,False
227,30.0,1,1.2,16922,2016,2016-04-01,2016-05-01,False
228,31.0,1,1.2,16953,2016,2016-05-01,2016-06-01,False
229,30.0,1,1.2,16983,2016,2016-06-01,2016-07-01,False
230,31.0,1,1.2,17014,2016,2016-07-01,2016-08-01,False
231,31.0,1,1.2,17045,2016,2016-08-01,2016-09-01,False
232,30.0,1,1.2,17075,2016,2016-09-01,2016-10-01,False
233,31.0,1,1.2,17106,2016,2016-10-01,2016-11-01,False
234,30.0,1,1.2,17136,2016,2016-11-01,2016-12-01,False
235,31.0,1,1.2,17167,2016,2016-12-01,2017-01-01,False
236,31.0,1,1.2,17198,2017,2017-01-01,2017-02-01,False
237,28.0,1,1.2,17226,2017,2017-02-01,2017-03-01,False
238,31.0,1,1.2,17257,2017,2017-03-01,2017-04-01,False
239,30.0,1,1.2,17287,2017,2017-04-01,2017-05-01,False
240,31.0,1,1.2,17318,2017,2017-05-01,2017-06-01,False
241,30.0,1,1.2,17348,2017,2017-06-01,2017-07-01,False
242,31.0,1,1.2,17379,2017,2017-07-01,2017-08-01,False
243,31.0,1,1.2,17410,2017,2017-08-01,2017-09-01,False
244,30.0,1,1.2,17440,2017,2017-09-01,2017-10-01,False
245,31.0,1,1.2,17471,2017,2017-10-01,2017-11-01,False
246,30.0,1,1.2,17501,2017,2017-11-01,2017-12-01,False
247,31.0,1,1.2,17532,2017,2017-12-01,2018-01-01,False
248,31.0,1,1.2,17563,2018,2018-01-01,2018-02-01,False
249,28.0,1,1.2,17591,2018,2018-02-01,2018-03-01,False
250,31.0,1,1.2,17622,2018,2018-03-01,2018-04-01,False
251,30.0,1,1.2,17652,2018,2018-04-01,2018-05-01,False
252,31.0,1,1.2,17683,2018,2018-05-01,2018-06-01,False
253,30.0,1,1.2,17713,2018,2018-06-01,2018-07-01,False
254,31.0,1,1.2,17744,2018,2018-07-01,2018-08-01,False
255,31.0,1,1.2,17775,2018,2018-08-01,2018-09-01,False
256,30.0,1,1.2,17805,2018,2018-09-01,2018-10-01,False
257,31.0,1,1.2,17836,2018,2018-10-01,2018-11-01,False
258,30.0,1,1.2,17866,2018,2018-11-01,2018-12-01,False
259,31.0,1,1.2,17897,2018,2018-12-01,2019-01-01,False
260,31.0,1,1.2,17928,2019,2019-01-01,2019-02-01,False
261,28.0,1,1.2,17956,2019,2019-02-01,2019-03-01,False
262,31.0,1,1.2,17987,2019,2019-03-01,2019-04-01,False
263,30.0,1,1.2,18017,2019,2019-04-01,2019-05-01,False
264,31.0,1,1.2,18048,2019,2019-05-01,2019-06-01,False
265,30.0,1,1.2,18078,2019,2019-06-01,2019-07-01,False
266,31.0,1,1.2,18109,2019,2019-07-01,2019-08-01,False
267,31.0,1,1.2,18140,2019,2019-08-01,2019-09-01,False
268,30.0,1,1.2,18170,2019,2019-09-01,2019-10-01,False
269,31.0,1,1.2,18201,2019,2019-10-01,2019-11-01,False
270,30.0,1,1.2,18231,2019,2019-11-01,2019-12-01,False
271,31.0,1,1.2,18262,2019,2019-12-01,2020-01-01,False
272,31.0,1,1.2,18293,2020,2020-01-01,2020-02-01,False
273,29.0,1,1.2,18322,2020,2020-02-01,2020-03-01,False
274,31.0,1,1.2,18353,2020,2020-03-01,2020-04-01,False
275,30.0,1,1.2,18383,2020,2020-04-01,2020-05-01,False
276,31.0,1,1.2,18414,2020,2020-05-01,2020-06-01,False
277,30.0,1,1.2,18444,2020,2020-06-01,2020-07-01,False
278,31.0,1,1.2,18475,2020,2020-07-01,2020-08-01,False
279,31.0,1,1.2,18506,2020,2020-08-01,2020-09-01,False
280,30.0,1,1.2,18536,2020,2020-09-01,2020-10-01,False
281,31.0,1,1.2,18567,2020,2020-10-01,2020-11-01,False
282,30.0,1,1.2,18597,2020,2020-11-01,2020-12-01,False
283,31.0,1,1.2,18628,2020,2020-12-01,2021-01-01,False
284,31.0,1,1.2,18659,2021,2021-01-01,2021-02-01,False
285,28.0,1,1.2,18687,2021,2021-02-01,2021-03-01,False
286,31.0,1,1.2,18718,2021,2021-03-01,2021-04-01,False
287,30.0,1,1.2,18748,2021,2021-04-01,2021-05-01,False
288,31.0,1,1.2,18779,2021,2021-05-01,2021-06-01,False
289,30.0,1,1.2,18809,2021,2021-06-01,2021-07-01,False
290,31.0,1,1.2,18840,2021,2021-07-01,2021-08-01,False
291,31.0,1,1.2,18871,2021,2021-08-01,2021-09-01,False
292,30.0,1,1.2,18901,2021,2021-09-01,2021-10-01,False
293,31.0,1,1.2,18932,2021,2021-10-01,2021-11-01,False
294,30.0,1,1.2,18962,2021,2021-11-01,2021-12-01,False
295,31.0,1,1.2,18993,2021,2021-12-01,2022-01-01,False
296,31.0,1,1.2,19024,2022,2022-01-01,2022-02-01,False
297,28.0,1,1.2,19052,2022,2022-02-01,2022-03-01,False
298,31.0,1,1.2,19083,2022,2022-03-01,2022-04-01,False
299,30.0,1,1.2,19113,2022,2022-04-01,2022-05-01,False
300,31.0,1,1.2,19144,2022,2022-05-01,2022-06-01,False
301,30.0,1,1.2,19174,2022,2022-06-01,2022-07-01,False
302,31.0,1,1.2,19205,2022,2022-07-01,2022-08-01,False
303,31.0,1,1.2,19236,2022,2022-08-01,2022-09-01,False
304,30.0,1,1.2,19266,2022,2022-09-01,2022-10-01,False
305,31.0,1,1.2,19297,2022,2022-10-01,2022-11-01,False
306,30.0,1,1.2,19327,2022,2022-11-01,2022-12-01,False
307,31.0,1,1.2,19358,2022,2022-12-01,2023-01-01,False
308,31.0,1,1.2,19389,2023,2023-01-01,2023-02-01,False
309,28.0,1,1.2,19417,2023,2023-02-01,2023-03-01,False
310,31.0,1,1.2,19448,2023,2023-03-01,2023-04-01,False
311,30.0,1,1.2,19478,2023,2023-04-01,2023-05-01,False
312,31.0,1,1.2,19509,2023,2023-05-01,2023-06-01,False
313,30.0,1,1.2,19539,2023,2023-06-01,2023-07-01,False
314,31.0,1,1.2,19570,2023,2023-07-01,2023-08-01,False
315,31.0,1,1.2,19601,2023,2023-08-01,2023-09-01,False
316,30.0,1,1.2,19631,2023,2023-09-01,2023-10-01,False
317,31.0,1,1.2,19662,2023,2023-10-01,2023-11-01,False
318,30.0,1,1.2,19692,2023,2023-11-01,2023-12-01,False
319,31.0,1,1.2,19723,2023,2023-12-01,2024-01-01,False
320,31.0,1,1.2,19754,2024,2024-01-01,2024-02-01,False
321,29.0,1,1.2,19783,2024,2024-02-01,2024-03-01,False
322,31.0,1,1.2,19814,2024,2024-03-01,2024-04-01,False
323,30.0,1,1.2,19844,2024,2024-04-01,2024-05-01,False
324,31.0,1,1.2,19875,2024,2024-05-01,2024-06-01,False
325,30.0,1,1.2,19905,2024,2024-06-01,2024-07-01,False
326,31.0,1,1.2,19936,2024,2024-07-01,2024-08-01,False
327,31.0,1,1.2,19967,2024,2024-08-01,2024-09-01,False
328,30.0,1,1.2,19997,2024,2024-09-01,2024-10-01,False
329,31.0,1,1.2,20028,2024,2024-10-01,2024-11-01,False
330,30.0,1,1.2,20058,2024,2024-11-01,2024-12-01,False
331,31.0,1,1.2,20089,2024,2024-12-01,2025-01-01,False
332,365.0,1,1.2,20454,2025,2025-01-01,2026-01-01,False
333,365.0,1,1.2,20819,2026,2026-01-01,2027-01-01,False
334,365.0,1,1.2,21184,2027,2027-01-01,2028-01-01,False
335,366.0,1,1.2,21550,2028,2028-01-01,2029-01-01,False
336,365.0,1,1.2,21915,2029,2029-01-01,2030-01-01,False
337,365.0,1,1.2,22280,2030,2030-01-01,2031-01-01,False
338,365.0,1,1.2,22645,2031,2031-01-01,2032-01-01,False
339,366.0,1,1.2,23011,2032,2032-01-01,2033-01-01,False
340,365.0,1,1.2,23376,2033,2033-01-01,2034-01-01,False
341,365.0,1,1.2,23741,2034,2034-01-01,2035-01-01,False
342,365.0,1,1.2,24106,2035,2035-01-01,2036-01-01,False
343,366.0,1,1.2,24472,2036,2036-01-01,2037-01-01,False
344,365.0,1,1.2,24837,2037,2037-01-01,2038-01-01,False
345,365.0,1,1.2,25202,2038,2038-01-01,2039-01-01,False
346,365.0,1,1.2,25567,2039,2039-01-01,2040-01-01,False
347,366.0,1,1.2,25933,2040,2040-01-01,2041-01-01,False
348,365.0,1,1.2,26298,2041,2041-01-01,2042-01-01,False
349,365.0,1,1.2,26663,2042,2042-01-01,2043-01-01,False
350,365.0,1,1.2,27028,2043,2043-01-01,2044-01-01,False
351,366.0,1,1.2,27394,2044,2044-01-01,2045-01-01,False
